Ação,Call of Duty: Modern Warfare,4.0
Ação,Red Dead Redemption 2,4.85
Ação,Metal Gear Solid V: The Phantom Pain,4.75
Ação,Grand Theft Auto V,4.85
Ação,Assassin's Creed Odyssey,4.35
Cartas,Magic: The Gathering Arena,4.1
Cartas,Hearthstone,4.65
Cartas,Solitaire,4.15
Cartas,Gwent: The Witcher Card Game,4.0
Cartas,Poker,4.1
Cartas,Boggle,3.9
Cartas,Uno,3.85
Corrida,Forza Motorsport 7,4.3
Corrida,Mario Kart 8 Deluxe,4.6
Corrida,Forza Horizon 4,4.6
Corrida,Burnout Paradise Remastered,4.3
Corrida,Need for Speed Heat,3.75
Esportes,Madden NFL 20,3.8
Esportes,Rocket League,4.3
Esportes,WWE 2K20,2.15
Esportes,Tony Hawk's Pro Skater 1 + 2,4.25
Esportes,FIFA 20,3.95
Esportes,Tennis World Tour,2.7
Esportes,NBA 2K20,3.9
Esportes,Tennis World Tour,3.75
Estratégia,Fire Emblem: Three Houses,4.45
Estratégia,Total War: Three Kingdoms,4.25
Estratégia,Anno 1800,4.0
Estratégia,StarCraft II,4.4
Estratégia,Halo Wars 2,3.95
Estratégia,Halo Wars 2,4.35
Palavras,Scrabble,3.95
Palavras,Hangman,3.5
Quebra-Cabeça,The Witness,4.35
Quebra-Cabeça,Baba Is You,4.25
Quebra-Cabeça,Fez,4.45
Quebra-Cabeça,Limbo,4.4
Quebra-Cabeça,Portal 2,4.75
Quebra-Cabeça,Tetris,4.15
Quebra-Cabeça,Minecraft,4.55
Quebra-Cabeça,Words With Friends,3.95
Quebra-Cabeça,Crosswords,3.8
Quebra-Cabeça,Fez,4.3
RPG,Final Fantasy XV,4.05
RPG,Kingdom Hearts III,4.0
RPG,Persona 5,4.65
RPG,Monster Hunter: World,4.5
RPG,The Witcher 3: Wild Hunt,4.65
RPG,Divinity: Original Sin 2,4.65
RPG,Dark Souls III,4.45
RPG,Persona 5,4.65
RPG,Divinity: Original Sin 2,4.65
RPG,Kingdom Hearts III,4.55
